image_path,tag,ansible_core_version,python_version,rhel_version
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0,2.16.14,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0,2.16.14,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-744,2.16.11,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-748,2.16.11,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-750,2.16.11,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-755,2.16.11,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-768,2.16.13,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-783,2.16.13,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-790,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-800,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-804,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-813,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-824,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-827,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-832,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-843,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform-25/ee-minimal-rhel9,1.0.0-851,2.16.14,3.11.9,9.5 (Plow)
